"S","I","R","D","H","beds","ISO"
"8512.910506156408","27.081450174961873","7465157.540891736","505568.2335759829","5.416290034992375","19089.225","CH"
"8512.894175072302","24.74369197465918","7465159.753735663","505568.30419866147","4.948738394931836","19089.225","CH"
"8512.879253767489","22.607736583496187","7465161.775559757","505568.3687249623","4.5215473166992375","19089.225","CH"
"8512.86562054077","20.656163738041567","7465163.6228534635","505568.4276811445","4.131232747608314","19089.225","CH"
"8512.85316419732","18.87305694696553","7465165.310682812","505568.4815480385","3.7746113893931064","19089.225","CH"
"8512.841783141626","17.24387368080366","7465166.852813274","505568.5307649683","3.448774736160732","19089.225","CH"
"8512.831384548756","15.755326767324659","7465168.26182205","505568.57573333354","3.151065353464932","19089.225","CH"
"8512.821883607146","14.395276025200376","7465169.549200632","505568.61681988416","2.8790552050400753","19089.225","CH"
"8512.813202826816","13.152629252168449","7465170.725448533","505568.6543597107","2.63052585043369","19089.225","CH"
"8512.805271407256","12.017251760209422","7465171.8001589095","505568.688658978","2.403450352041885","19089.225","CH"
"8512.798024659956","10.979883719910172","7465172.782096808","505568.7199974216","2.1959767439820346","19089.225","CH"
"8512.791403480718","10.03206463991935","7465173.679270652","505568.74863062944","2.00641292798387","19089.225","CH"
"8512.7853538676","9.166064365563338","7465174.498997546","505568.7747921261","1.8332128731126678","19089.225","CH"
"8512.779826480424","8.374820033877324","7465175.247962963","505568.79869527766","1.6749640067754648","19089.225","CH"
"8512.77477623834","7.651878470870668","7465175.93227526","505568.8205350318","1.5303756941741335","19089.225","CH"
"8512.770161952123","6.991343561239599","7465176.557515503","505568.8404895077","1.39826871224792","19089.225","CH"
"8512.765945988214","6.387828161288721","7465177.128782983","505568.85872144863","1.2775656322577442","19089.225","CH"
"8512.762093961785","5.836410162881315","7465177.650736807","505568.87537954946","1.1672820325762632","19089.225","CH"
"8512.75857445628","5.33259235008739","7465178.127633885","505568.890599669","1.0665184700174781","19089.225","CH"
"8512.755358767154","4.872265721129396","7465178.563363664","505568.9045059386","0.9744531442258793","19089.225","CH"
"8512.752420667788","4.451675976496143","7465178.961479839","505568.91721177404","0.8903351952992287","19089.225","CH"
"8512.749736195565","4.067392899906402","7465179.325229334","505568.9288208006","0.8134785799812804","19089.225","CH"
"8512.74728345642","3.7162823824062756","7465179.657578794","505568.93942769826","0.7432564764812551","19089.225","CH"
"8512.745042446279","3.3954808614343808","7465179.961238774","505568.9491189742","0.6790961722868762","19089.225","CH"
"8512.742994887909","3.1023719663880693","7465180.238685839","505568.9579736679","0.6204743932776139","19089.225","CH"
"8512.741124081911","2.834565190962433","7465180.492182767","505568.9660639954","0.5669130381924866","19089.225","CH"
"8512.739414770303","2.5898763629363795","7465180.723797019","505568.97345593956","0.5179752725872759","19089.225","CH"
"8512.737853012308","2.3663098663433577","7465180.9354175795","505568.9802097873","0.4732619732686716","19089.225","CH"
"8512.736426070567","2.162042353228677","7465181.128770366","505568.98638062103","0.4324084706457354","19089.225","CH"
"8512.73512230727","1.9754078729195268","7465181.305432317","505568.9920187684","0.39508157458390536","19089.225","CH"
"8512.733931089213","1.8048842849842066","7465181.466844236","505568.99717021256","0.36097685699684134","19089.225","CH"
"8512.732842701098","1.6490808450696826","7465181.614322556","505569.0018769675","0.3298161690139365","19089.225","CH"
"8512.7318482663","1.506726862368015","7465181.749070069","505569.00617742003","0.30134537247360305","19089.225","CH"
"8512.73093967443","1.3766613362071678","7465181.872185739","505569.0101066436","0.27533226724143356","19089.225","CH"
"8512.730109515238","1.2578234872450602","7465181.984673666","505569.0136966838","0.25156469744901205","19089.225","CH"
"8512.729351018148","1.1492441060412264","7465182.087451272","505569.01697682025","0.2298488212082453","19089.225","CH"
"8512.728657997037","1.0500376484478635","7465182.181356784","505569.0199738045","0.2100075296895727","19089.225","CH"
"8512.728024799799","0.9593950133520392","7465182.267156068","505569.02271207934","0.19187900267040786","19089.225","CH"
"8512.727446262239","0.8765769438666222","7465182.3455488775","505569.0252139776","0.17531538877332445","19089.225","CH"
"8512.72691766595","0.8009079981516415","7465182.417174568","505569.027499904","0.1601815996303283","19089.225","CH"
"8512.726434699827","0.7317710406946938","7465182.482617296","505569.0295885017","0.14635420813893876","19089.225","CH"
"8512.725993424929","0.6686022091207189","7465182.542410795","505569.0314968049","0.13372044182414378","19089.225","CH"
"8512.72559024233","0.6108863154837997","7465182.597042726","505569.03324037726","0.12217726309675994","19089.225","CH"
"8512.725221863773","0.5581526445342568","7465182.646958653","505569.0348334387","0.11163052890685138","19089.225","CH"
"8512.724885284859","0.5099711146930928","7465182.692565675","505569.03628898197","0.10199422293861855","19089.225","CH"
"8512.724577760537","0.465948770423238","7465182.734235753","505569.0376188779","0.09318975408464761","19089.225","CH"
"8512.724296782717","0.42572657739095043","7465182.772308735","505569.03883397294","0.0851453154781901","19089.225","CH"
"8512.724040059822","0.3889764942250929","7465182.807095133","505569.039944177","0.07779529884501858","19089.225","CH"
"8512.72380549809","0.3553987970635335","7465182.838878655","505569.04095854476","0.07107975941270671","19089.225","CH"
"8512.723591184487","0.3247196352142932","7465182.867918522","505569.0418853491","0.06494392704285865","19089.225","CH"
"8512.72339537113","0.2966887977028109","7465182.894451574","505569.04273214855","0.05933775954056219","19089.225","CH"
"8512.723216461014","0.27107767261385385","7465182.9186942065","505569.0435058497","0.054215534522770774","19089.225","CH"
"8512.723052995003","0.24767738258999933","7465182.94084414","505569.04421276244","0.04953547651799987","19089.225","CH"
"8512.722903639906","0.2262970812800871","7465182.961082017","505569.0448586521","0.045259416256017426","19089.225","CH"
"8512.722767177633","0.20676239684293607","7465182.979572893","505569.0454487866","0.041352479368587214","19089.225","CH"
"8512.722642495226","0.1889140098134283","7465182.996467578","505569.04598797864","0.03778280196268566","19089.225","CH"
"8512.722528575816","0.17260635373154287","7465183.011903858","505569.04648062587","0.03452127074630858","19089.225","CH"
"8512.722424490288","0.15770642593236034","7465183.02600763","505569.0469307462","0.03154128518647207","19089.225","CH"
"8512.72232938976","0.14409270804320504","7465183.038893919","505569.04734201066","0.02881854160864101","19089.225","CH"
"8512.722242498618","0.13165417018103473","7465183.050667821","505569.04771777353","0.026330834036206948","19089.225","CH"
"8512.7221631082","0.12028936695134972","7465183.0614253655","505569.04806109937","0.024057873390269945","19089.225","CH"
"8512.722090571013","0.10990561007965678","7465183.071254282","505569.0483747882","0.02198112201593136","19089.225","CH"
"8512.722024295477","0.10041821246405899","7465183.080234734","505569.0486613985","0.0200836424928118","19089.225","CH"
"8512.721963741054","0.09174979748413215","7465183.088439967","505569.04892326763","0.01834995949682643","19089.225","CH"
"8512.721908413885","0.08382966793301211","7465183.095936896","505569.04916253133","0.016765933586602423","19089.225","CH"
"8512.721857862733","0.07659322942547409","7465183.102786666","505569.04938114097","0.015318645885094817","19089.225","CH"
"8512.721811675317","0.06998146357966294","7465183.10904514","505569.0495808795","0.013996292715932588","19089.225","CH"
"8512.721769475016","0.06394045557196179","7465183.114763356","505569.0497633757","0.012788091114392358","19089.225","CH"
"8512.721730917578","0.05842092658316853","7465183.119987957","505569.0499301183","0.011684185316633707","19089.225","CH"
"8512.721695688537","0.053377860882618165","7465183.1247615535","505569.0500824672","0.010675572176523634","19089.225","CH"
"8512.721663500583","0.048770128636330894","7465183.129123079","505569.0502216648","0.009754025727266179","19089.225","CH"
"8512.721634091195","0.04456015046473314","7465183.133108104","505569.0503488463","0.00891203009294663","19089.225","CH"
"8512.721607220517","0.0407135909567636","7465183.136749131","505569.0504650493","0.00814271819135272","19089.225","CH"
"8512.721582669405","0.03719907864071795","7465183.140075853","505569.0505712213","0.0074398157281435895","19089.225","CH"
"8512.721560237622","0.033987950128024594","7465183.143115399","505569.0506682281","0.006797590025604919","19089.225","CH"
"8512.721539742219","0.031054016343383947","7465183.145892563","505569.0507568609","0.00621080326867679","19089.225","CH"
"8512.721521016045","0.028373348934442183","7465183.148429993","505569.05083784275","0.005674669786888437","19089.225","CH"
"8512.721503906372","0.02592408511937592","7465183.150748384","505569.05091183394","0.005184817023875184","19089.225","CH"
"8512.721488273659","0.02368624938054305","7465183.152866644","505569.05097943806","0.004737249876108611","19089.225","CH"
"8512.721473990412","0.021641590550049678","7465183.154802049","505569.0510412063","0.0043283181100099355","19089.225","CH"
"8512.721460940138","0.019773432958614525","7465183.156570383","505569.0510976426","0.003954686591722905","19089.225","CH"
"8512.7214490164","0.01806654032073107","7465183.158186072","505569.05114920717","0.003613308064146214","19089.225","CH"
"8512.721438121953","0.01650699133062952","7465183.15966229","505569.0511963204","0.003301398266125904","19089.225","CH"
"8512.721428167939","0.015082066479192585","7465183.161011076","505569.0512393667","0.0030164132958385172","19089.225","CH"
"8512.721419073181","0.013780144320046248","7465183.1622434305","505569.05127869727","0.0027560288640092498","19089.225","CH"
"8512.7214107635","0.012590606672036885","7465183.163369406","505569.0513146326","0.002518121334407377","19089.225","CH"
"8512.721403171126","0.011503752006213352","7465183.164398187","505569.0513474659","0.0023007504012426704","19089.225","CH"
"8512.72139623414","0.010510716310354856","7465183.165338162","505569.051377465","0.002102143262070971","19089.225","CH"
"8512.72138989596","0.009603400784888411","7465183.166196996","505569.0514048746","0.0019206801569776823","19089.225","CH"
"8512.721384104902","0.008774405781616524","7465183.166981696","505569.0514299181","0.0017548811563233048","19089.225","CH"
"8512.72137881373","0.008016970445263404","7465183.167698659","505569.0514527999","0.001603394089052681","19089.225","CH"
"8512.721373979299","0.007324917565914072","7465183.168353735","505569.0514737065","0.0014649835131828144","19089.225","CH"
"8512.721369562176","0.006692603193353893","7465183.168952263","505569.0514928084","0.0013385206386707788","19089.225","CH"
"8512.721365526346","0.006114870599403354","7465183.169499124","505569.0515102614","0.0012229741198806709","19089.225","CH"
"8512.721361838892","0.005587008217029278","7465183.169998782","505569.0515262078","0.0011174016434058558","19089.225","CH"
"8512.721358469742","0.005104711208868525","7465183.170455307","505569.0515407777","0.0010209422417737052","19089.225","CH"
"8512.721355391413","0.004664046355004074","7465183.170872424","505569.05155409","0.0009328092710008148","19089.225","CH"
"8512.721352578812","0.004261419970590165","7465183.171253535","505569.0515662532","0.0008522839941180331","19089.225","CH"
"8512.721350009","0.0038935485945299796","7465183.171601749","505569.0515773663","0.000778709718905996","19089.225","CH"
"8512.721347661012","0.0035574322083418448","7465183.171919906","505569.05158752017","0.000711486441668369","19089.225","CH"
"8512.721345515705","0.003250329766215323","7465183.172210598","505569.05159679754","0.0006500659532430647","19089.225","CH"
"8512.721343555582","0.002969736838901846","7465183.1724761985","505569.05160527414","0.0005939473677803693","19089.225","CH"
"8512.721341764662","0.0027133651865621985","7465183.172718872","505569.05161301896","0.0005426730373124397","19089.225","CH"
"8512.721340128339","0.002479124095986148","7465183.172940597","505569.0516200953","0.0004958248191972297","19089.225","CH"
"8512.721338633266","0.0022651033281796255","7465183.173143182","505569.05162656074","0.0004530206656359251","19089.225","CH"
"8512.721337267252","0.0020695575515382275","7465183.173328279","505569.05163246806","0.0004139115103076455","19089.225","CH"
"8512.72133601916","0.0018908921618181705","7465183.173497398","505569.05163786554","0.0003781784323636341","19089.225","CH"
"8512.721334878808","0.001727650198366556","7465183.17365192","505569.051642797","0.0003455300396733112","19089.225","CH"
"8512.721333836898","0.0015785004503792927","7465183.1737931","505569.05164730275","0.0003157000900758586","19089.225","CH"
"8512.721332884938","0.001442226603373025","7465183.173922094","505569.0516514195","0.000288445320674605","19089.225","CH"
"8512.721332015162","0.0013177173218427104","7465183.174039951","505569.0516551808","0.0002635434643685421","19089.225","CH"
"8512.721331220473","0.0012039571884462509","7465183.174147632","505569.05165861757","0.00024079143768925018","19089.225","CH"
"8512.72133049439","0.0011000184249740017","7465183.174246016","505569.05166175746","0.00022000368499480033","19089.225","CH"
"8512.721329830996","0.0010050533280813651","7465183.174335908","505569.0516646263","0.00020101066561627304","19089.225","CH"
"8512.721329224878","0.0009182873578160403","7465183.174418038","505569.05166724743","0.00018365747156320807","19089.225","CH"
"8512.721328671096","0.0008390128229604994","7465183.174493076","505569.05166964215","0.0001678025645920999","19089.225","CH"
"8512.721328165127","0.0007665831109733912","7465183.174561636","505569.05167183024","0.00015331662219467826","19089.225","CH"
"8512.721327702851","0.0007004074165410383","7465183.174624275","505569.05167382926","0.00014008148330820768","19089.225","CH"
"8512.721327280486","0.0006399459247246531","7465183.174681505","505569.05167565576","0.00012798918494493064","19089.225","CH"
"8512.721326894518","0.0005846940291381238","7465183.174733804","505569.0516773249","0.00011693880582762477","19089.225","CH"
"8512.721326541867","0.0005342117946392208","7465183.174781588","505569.0516788499","0.00010684235892784416","19089.225","CH"
"8512.721326219658","0.0004880875566284166","7465183.174825247","505569.0516802433","9.761751132568333e-05","19089.225","CH"
"8512.721325925266","0.00044594517042460054","7465183.174865139","505569.05168151646","8.918903408492011e-05","19089.225","CH"
"8512.721325656288","0.000407440947211003","7465183.174901585","505569.05168267974","8.14881894422006e-05","19089.225","CH"
"8512.721325410534","0.0003722608543758838","7465183.174934885","505569.0516837425","7.445217087517677e-05","19089.225","CH"
"8512.721325185994","0.0003401179572490555","7465183.17496531","505569.0516847136","6.80235914498111e-05","19089.225","CH"
"8512.721324980841","0.0003107500815077776","7465183.17499311","505569.0516856008","6.215001630155553e-05","19089.225","CH"
"8512.7213247934","0.0002839176771152411","7465183.175018509","505569.05168641143","5.6783535423048225e-05","19089.225","CH"
"8512.721324622142","0.0002594018665760625","7465183.175041714","505569.0516871521","5.188037331521251e-05","19089.225","CH"
"8512.721324465669","0.00023700266150442187","7465183.175062915","505569.05168782873","4.7400532300884374e-05","19089.225","CH"
"8512.721324322703","0.00021653733300311477","7465183.175082289","505569.05168844695","4.330746660062296e-05","19089.225","CH"
"8512.721324192084","0.00019783892259712488","7465183.1750999885","505569.0516890118","3.956778451942498e-05","19089.225","CH"
"8512.721324072743","0.00018075488163515535","7465183.175116159","505569.05168952787","3.6150976327031074e-05","19089.225","CH"
"8512.721323963715","0.0001651475234420914","7465183.175130933","505569.05168999935","3.3029504688418286e-05","19089.225","CH"
"8512.7213238641","0.00015088761426877635","7465183.175144429","505569.05169043015","3.0177522853755272e-05","19089.225","CH"
"8512.721323773085","0.00013785883629791496","7465183.175156763","505569.05169082375","2.7571767259582993e-05","19089.225","CH"
"8512.721323689928","0.00012595490972553466","7465183.175168031","505569.0516911834","2.5190981945106933e-05","19089.225","CH"
"8512.721323613952","0.00011507872677328695","7465183.175178326","505569.051691512","2.301574535465739e-05","19089.225","CH"
"8512.721323544532","0.00010514156037931846","7465183.17518773","505569.05169181223","2.1028312075863692e-05","19089.225","CH"
"8512.721323481112","9.606234115007377e-05","7465183.1751963245","505569.05169208656","1.9212468230014757e-05","19089.225","CH"
"8512.721323423164","8.776699666863926e-05","7465183.175204177","505569.0516923372","1.755339933372785e-05","19089.225","CH"
"8512.721323370219","8.018784780627975e-05","7465183.175211351","505569.05169256625","1.6037569561255953e-05","19089.225","CH"
"8512.721323321846","7.32630571002916e-05","7465183.175217906","505569.05169277545","1.465261142005832e-05","19089.225","CH"
"8512.72132327765","6.693612470998314e-05","7465183.175223894","505569.05169296655","1.3387224941996628e-05","19089.225","CH"
"8512.721323237267","6.115542785079487e-05","7465183.175229366","505569.0516931411","1.2231085570158974e-05","19089.225","CH"
"8512.721323200369","5.587379995882898e-05","7465183.175234365","505569.05169330066","1.1174759991765797e-05","19089.225","CH"
"8512.72132316666","5.1048146163975586e-05","7465183.175238934","505569.0516934464","1.0209629232795117e-05","19089.225","CH"
"8512.721323135858","4.6639091931974544e-05","7465183.1752431085","505569.0516935796","9.327818386394909e-06","19089.225","CH"
